transaction_id,donor_reference,transaction_date,amount,currency,payment_method,payment_status,bank_reference,processing_fee,net_amount,campaign_code,data_source
20088,DNR-01021,2023-07-11,201.81,GBP,Direct Debit,Completed,BK237353,0.0,201.81,,Finance System
20089,DNR-01021,2024-01-04,321.95,GBP,Direct Debit,Completed,BK524448,0.0,321.95,C105.0,Finance System
20090,DNR-01021,2024-01-09,204.83,GBP,Card,Completed,BK868228,5.12,199.71,C129.0,Finance System
20091,DNR-01022,2024-02-25,25.54,GBP,Card,Completed,BK515639,0.64,24.9,C119.0,Finance System
20092,DNR-01022,2023-08-31,35.03,GBP,Cash,Completed,BK360243,0.0,35.03,C109.0,Finance System
20093,DNR-01023,2024-08-28,20.59,GBP,Cash,Completed,BK880230,0.0,20.59,C102.0,Finance System
20094,DNR-01024,2024-09-15,20.28,GBP,Card,Completed,BK245364,0.51,19.77,C107.0,Finance System
20095,DNR-01024,2023-08-14,19.7,GBP,Card,Completed,BK627120,0.49,19.21,C109.0,Finance System
20096,DNR-01025,2024-06-04,9.82,GBP,Cash,Completed,BK432059,0.0,9.82,C120.0,Finance System
20097,DNR-01026,2024-09-14,13.96,GBP,Cash,Completed,BK356368,0.0,13.96,C106.0,Finance System
20098,DNR-01026,2023-03-01,12.98,GBP,Cash,Completed,BK900568,0.0,12.98,C100.0,Finance System
20099,DNR-01026,2023-03-09,15.5,GBP,Card,Completed,BK371680,0.39,15.11,C100.0,Finance System
20100,DNR-01026,2023-01-18,6.25,GBP,Bank Transfer,Completed,BK154768,0.0,6.25,,Finance System
20101,DNR-01026,2024-09-09,12.12,GBP,Bank Transfer,Completed,BK274309,0.0,12.12,C124.0,Finance System
20102,DNR-01026,2023-05-24,7.56,GBP,Card,Completed,BK938510,0.19,7.369999999999999,C108.0,Finance System
20103,DNR-01028,2024-06-16,10.42,GBP,Bank Transfer,Completed,BK893641,0.0,10.42,C132.0,Finance System
20104,DNR-01028,2023-03-03,12.22,GBP,Bank Transfer,Completed,BK861913,0.0,12.22,C110.0,Finance System
20105,DNR-01028,2024-09-16,11.76,GBP,Cheque,Completed,BK287915,0.0,11.76,C106.0,Finance System
20106,DNR-01028,2023-06-17,13.09,GBP,Cash,Completed,BK751875,0.0,13.09,C108.0,Finance System
20107,DNR-01029,2023-08-20,23.27,GBP,Bank Transfer,Completed,BK429469,0.0,23.27,C116.0,Finance System
20108,DNR-01030,2024-07-29,72.66,GBP,Bank Transfer,Completed,BK775539,0.0,72.66,C134.0,Finance System
20109,DNR-01030,2024-08-06,46.26,GBP,Cash,Completed,BK515021,0.0,46.26,C127.0,Finance System
20110,DNR-01030,2024-08-22,54.25,GBP,Cash,Completed,BK884213,0.0,54.25,C102.0,Finance System
20111,DNR-01031,2024-03-14,16.08,GBP,Direct Debit,Completed,BK788000,0.0,16.08,C133.0,Finance System
20112,DNR-01031,2024-09-24,31.11,GBP,Direct Debit,Completed,BK228391,0.0,31.11,C107.0,Finance System
20113,DNR-01031,2023-11-25,31.11,GBP,Direct Debit,Completed,BK983537,0.0,31.11,C112.0,Finance System
20114,DNR-01031,2024-10-03,10.4,GBP,Direct Debit,Completed,BK451906,0.0,10.4,C124.0,Finance System
20115,DNR-01031,2023-09-11,24.83,GBP,Direct Debit,Completed,BK394565,0.0,24.83,C123.0,Finance System
20116,ANON-4781,2024-07-28,21.73,GBP,Direct Debit,Completed,BK599976,0.0,21.73,C134.0,Finance System
20117,DNR-01031,2023-08-22,28.11,GBP,Direct Debit,Completed,BK286164,0.0,28.11,C109.0,Finance System
20118,DNR-01032,2024-07-20,9.76,GBP,Card,Completed,BK178073,0.24,9.52,C127.0,Finance System
20119,DNR-01032,2023-08-10,13.44,GBP,Cheque,Completed,BK177912,0.0,13.44,C116.0,Finance System
20120,DNR-01032,2024-08-16,12.72,GBP,Cash,Completed,BK200737,0.0,12.72,C122.0,Finance System
20121,DNR-01032,2024-01-28,20.85,GBP,Bank Transfer,Completed,BK231209,0.0,20.85,,Finance System
20122,DNR-01033,2024-07-29,16.62,GBP,Cash,Completed,BK471691,0.0,16.62,C134.0,Finance System
20123,DNR-01033,2023-02-05,23.68,GBP,Card,Completed,BK842008,0.59,23.09,C113.0,Finance System
20124,DNR-01033,2023-09-19,19.68,GBP,Cash,Completed,BK736728,0.0,19.68,C123.0,Finance System
20125,DNR-01033,2024-07-29,5.0,GBP,Bank Transfer,Completed,BK989073,0.0,5.0,C134.0,Finance System
20126,DNR-01033,2024-01-20,13.53,GBP,Bank Transfer,Completed,BK857397,0.0,13.53,C128.0,Finance System
20127,DNR-01033,2023-02-12,17.37,GBP,Card,Completed,BK107321,0.43,16.94,C131.0,Finance System
20128,DNR-01033,2023-08-15,17.54,GBP,Card,Failed,BK675879,0.44,17.099999999999998,C116.0,Finance System
20129,DNR-01033,2024-08-07,7.97,GBP,Card,Completed,BK714986,0.2,7.77,C122.0,Finance System
20130,DNR-01033,2024-09-07,18.0,GBP,Cash,Completed,BK177086,0.0,18.0,C106.0,Finance System
20131,DNR-01033,2023-08-08,11.7,GBP,Card,Completed,BK938468,0.29,11.41,C116.0,Finance System
20132,DNR-01033,2023-03-24,10.82,GBP,Card,Completed,BK938814,0.27,10.55,C114.0,Finance System
20133,DNR-01033,2023-02-23,22.36,GBP,Card,Completed,BK244769,0.56,21.8,,Finance System
20134,ANON-2251,2024-06-06,15.47,GBP,Card,Completed,BK461551,0.39,15.08,C120.0,Finance System
20135,DNR-01034,2023-10-20,97.48,GBP,Bank Transfer,Failed,BK375923,0.0,97.48,,Finance System
20136,DNR-01035,2023-03-11,11.01,GBP,Card,Completed,BK654678,0.28,10.73,C100.0,Finance System
20137,DNR-01035,2024-03-18,14.54,GBP,Cash,Completed,BK280236,0.0,14.54,C119.0,Finance System
20138,DNR-01035,2023-03-30,13.15,GBP,Card,Completed,BK510887,0.33,12.82,,Finance System
20139,DNR-01035,2023-04-23,9.0,GBP,Cash,Completed,BK306892,0.0,9.0,C111.0,Finance System
20140,DNR-01036,2023-08-11,126.04,GBP,Cash,Completed,BK188273,0.0,126.04,,Finance System
20141,DNR-01036,2023-02-12,36.21,GBP,Bank Transfer,Completed,BK902006,0.0,36.21,C118.0,Finance System
20142,DNR-01036,2023-01-01,90.96,GBP,Bank Transfer,Completed,BK827247,0.0,90.96,,Finance System
20143,DNR-01036,2023-03-03,95.92,GBP,Bank Transfer,Completed,BK383689,0.0,95.92,,Finance System
20144,DNR-01036,2024-09-27,115.99,GBP,Card,Completed,BK856427,2.9,113.08999999999999,C107.0,Finance System
20145,DNR-01036,2024-03-16,45.0,GBP,Card,Completed,BK870336,1.12,43.88,C133.0,Finance System
20146,DNR-01036,2024-09-14,39.64,GBP,Cash,Completed,BK140660,0.0,39.64,C106.0,Finance System
20147,DNR-01036,2023-05-21,82.73,GBP,Bank Transfer,Failed,BK705354,0.0,82.73,C111.0,Finance System
20148,DNR-01036,2024-01-08,102.59,GBP,Card,Completed,BK425174,2.56,100.03,C129.0,Finance System
20149,DNR-01036,2023-12-16,26.82,GBP,Card,Completed,BK212565,0.67,26.15,C112.0,Finance System
20150,DNR-01036,2023-02-25,95.43,GBP,Card,Completed,BK466548,2.39,93.04,C118.0,Finance System
20151,ANON-2956,2023-03-02,114.7,GBP,Bank Transfer,Completed,BK296317,0.0,114.7,C100.0,Finance System
20152,DNR-01036,2024-08-19,65.13,GBP,Bank Transfer,Completed,BK760117,0.0,65.13,C125.0,Finance System
20153,DNR-01036,2024-03-14,73.99,GBP,Card,Completed,BK250843,1.85,72.14,C133.0,Finance System
20154,DNR-01038,2024-03-27,43.14,GBP,Bank Transfer,Completed,BK204378,0.0,43.14,,Finance System
20155,ANON-4809,2024-02-02,48.29,GBP,Bank Transfer,Completed,BK316504,0.0,48.29,C128.0,Finance System
20156,DNR-01038,2024-09-21,15.04,GBP,Card,Completed,BK744376,0.38,14.659999999999998,C106.0,Finance System
20157,DNR-01038,2024-01-22,21.06,GBP,Cash,Completed,BK464334,0.0,21.06,C129.0,Finance System
20158,DNR-01039,2023-03-25,98.22,GBP,Card,Completed,BK484485,2.46,95.76,C100.0,Finance System
20159,DNR-01039,2023-06-15,101.11,GBP,Card,Completed,BK744088,2.53,98.58,C108.0,Finance System
20160,DNR-01039,2024-01-28,121.99,GBP,Bank Transfer,Completed,BK618128,0.0,121.99,C128.0,Finance System
20161,DNR-01039,2023-11-22,89.72,GBP,Bank Transfer,Completed,BK812213,0.0,89.72,C112.0,Finance System
20162,DNR-01039,2023-03-17,68.38,GBP,Card,Completed,BK923927,1.71,66.67,C103.0,Finance System
20163,DNR-01039,2023-07-22,112.7,GBP,Cheque,Failed,BK439363,0.0,112.7,,Finance System
20164,DNR-01039,2023-08-18,86.82,GBP,Card,Failed,BK145604,2.17,84.64999999999999,C116.0,Finance System
20165,DNR-01039,2024-08-17,107.43,GBP,Bank Transfer,Completed,BK963319,0.0,107.43,C102.0,Finance System
20166,DNR-01039,2024-07-10,59.47,GBP,Cash,Completed,BK656295,0.0,59.47,C127.0,Finance System
20167,DNR-01039,2023-02-20,81.29,GBP,Card,Completed,BK284649,2.03,79.26,C118.0,Finance System
20168,DNR-01039,2023-09-12,34.33,GBP,Card,Completed,BK452449,0.86,33.47,C123.0,Finance System
20169,DNR-01039,2023-08-19,97.13,GBP,Bank Transfer,Completed,BK582947,0.0,97.13,,Finance System
20170,DNR-01040,2024-09-02,18.49,GBP,Card,Failed,BK444424,0.46,18.029999999999998,C125.0,Finance System
20171,DNR-01040,2024-06-15,15.84,GBP,Card,Completed,BK747445,0.4,15.44,C132.0,Finance System
20172,DNR-01040,2024-08-29,5.0,GBP,Card,Completed,BK521327,0.12,4.88,C125.0,Finance System
20173,DNR-01041,2024-08-16,12.39,GBP,Bank Transfer,Completed,BK832609,0.0,12.39,C102.0,Finance System
20174,DNR-01041,2024-06-15,16.08,GBP,Card,Failed,BK263037,0.4,15.679999999999998,C132.0,Finance System
20175,DNR-01041,2023-02-21,17.77,GBP,Cash,Completed,BK589433,0.0,17.77,C118.0,Finance System
20176,DNR-01041,2024-01-14,10.25,GBP,Bank Transfer,Completed,BK755300,0.0,10.25,C105.0,Finance System
20177,DNR-01041,2023-06-05,10.62,GBP,Bank Transfer,Completed,BK888727,0.0,10.62,C108.0,Finance System
20178,DNR-01043,2024-04-26,9.16,GBP,Bank Transfer,Completed,BK948521,0.0,9.16,C104.0,Finance System
20179,DNR-01044,2023-03-15,33.05,GBP,Bank Transfer,Completed,BK672141,0.0,33.05,C110.0,Finance System
20180,DNR-01044,2024-07-19,29.7,GBP,Card,Completed,BK340881,0.74,28.96,C122.0,Finance System
20181,DNR-01044,2024-08-11,35.79,GBP,Card,Completed,BK582114,0.89,34.9,C122.0,Finance System
20182,DNR-01044,2023-04-05,20.16,GBP,Card,Completed,BK781766,0.5,19.66,,Finance System
20183,DNR-01044,2023-05-28,35.04,GBP,Card,Completed,BK657279,0.88,34.16,C126.0,Finance System
20184,DNR-01044,2024-04-09,37.94,GBP,Card,Completed,BK228862,0.95,36.989999999999995,C101.0,Finance System
20185,DNR-01044,2023-02-08,50.34,GBP,Bank Transfer,Completed,BK103085,0.0,50.34,C131.0,Finance System
20186,DNR-01044,2024-01-15,34.66,GBP,Card,Completed,BK444643,0.87,33.79,C129.0,Finance System
20187,DNR-01044,2023-08-16,17.1,GBP,Cash,Completed,BK896487,0.0,17.1,C117.0,Finance System
20188,DNR-01044,2024-04-30,37.16,GBP,Card,Completed,BK890681,0.93,36.23,C104.0,Finance System
20189,DNR-01045,2023-05-26,12.02,GBP,Card,Completed,BK485000,0.3,11.719999999999999,C108.0,Finance System
20190,DNR-01045,2023-08-06,8.91,GBP,Card,Completed,BK344879,0.22,8.69,C130.0,Finance System
20191,DNR-01047,2024-04-07,16.84,GBP,Bank Transfer,Completed,BK537637,0.0,16.84,C101.0,Finance System
20192,DNR-01047,2023-12-07,22.81,GBP,Card,Completed,BK748797,0.57,22.24,,Finance System
20193,DNR-01047,2023-06-14,9.66,GBP,Card,Completed,BK426456,0.24,9.42,C126.0,Finance System
20194,DNR-01047,2024-09-19,14.8,GBP,Card,Completed,BK562883,0.37,14.430000000000001,C106.0,Finance System
20195,DNR-01047,2023-03-12,11.62,GBP,Card,Completed,BK580434,0.29,11.33,C115.0,Finance System
20196,DNR-01047,2024-07-28,11.68,GBP,Bank Transfer,Completed,BK983859,0.0,11.68,C134.0,Finance System
20197,ANON-2732,2023-02-19,17.29,GBP,Bank Transfer,Completed,BK878682,0.0,17.29,C115.0,Finance System
20198,DNR-01047,2024-04-24,10.79,GBP,Card,Completed,BK941974,0.27,10.52,C104.0,Finance System
20199,DNR-01048,2023-06-05,12.84,GBP,Bank Transfer,Completed,BK810964,0.0,12.84,C108.0,Finance System
20200,DNR-01048,2023-02-19,10.22,GBP,Cash,Completed,BK508018,0.0,10.22,C115.0,Finance System
20201,DNR-01049,2023-09-18,38.86,GBP,Direct Debit,Completed,BK544444,0.0,38.86,,Finance System
20202,DNR-01049,2024-05-20,30.16,GBP,Bank Transfer,Completed,BK589704,0.0,30.16,C120.0,Finance System
20203,DNR-01049,2024-11-15,55.55,GBP,Card,Completed,BK523523,1.39,54.16,,Finance System
20204,DNR-01049,2024-12-28,44.34,GBP,Direct Debit,Completed,BK140044,0.0,44.34,,Finance System
20205,DNR-01049,2024-01-05,29.85,GBP,Bank Transfer,Failed,BK125212,0.0,29.85,C105.0,Finance System
20206,DNR-01049,2024-02-18,48.07,GBP,Direct Debit,Completed,BK927919,0.0,48.07,,Finance System
20207,DNR-01049,2024-07-14,37.45,GBP,Direct Debit,Completed,BK658033,0.0,37.45,,Finance System
20208,DNR-01049,2023-08-13,44.1,GBP,Direct Debit,Completed,BK467748,0.0,44.1,C117.0,Finance System
20209,DNR-01049,2024-12-30,23.79,GBP,Card,Completed,BK938750,0.59,23.2,,Finance System
20210,DNR-01049,2024-04-21,53.47,GBP,Direct Debit,Completed,BK419424,0.0,53.47,C104.0,Finance System
20211,ANON-1985,2023-10-12,48.59,GBP,Card,Failed,BK182735,1.21,47.38,,Finance System
20212,DNR-01049,2024-06-08,21.8,GBP,Direct Debit,Failed,BK768770,0.0,21.8,,Finance System
20213,DNR-01049,2024-08-11,36.12,GBP,Direct Debit,Completed,BK623592,0.0,36.12,C122.0,Finance System
20214,DNR-01049,2024-09-04,33.93,GBP,Direct Debit,Completed,BK863633,0.0,33.93,C102.0,Finance System
20215,DNR-01049,2024-07-20,47.47,GBP,Direct Debit,Completed,BK320578,0.0,47.47,C122.0,Finance System
20216,DNR-01049,2024-04-06,51.76,GBP,Direct Debit,Completed,BK355915,0.0,51.76,,Finance System
20217,DNR-01049,2024-07-07,40.12,GBP,Direct Debit,Completed,BK425220,0.0,40.12,,Finance System
20218,DNR-01049,2024-08-02,30.53,GBP,Direct Debit,Completed,BK411249,0.0,30.53,C122.0,Finance System
20219,DNR-01049,2023-11-20,46.63,GBP,Direct Debit,Completed,BK547560,0.0,46.63,,Finance System
20220,DNR-01049,2024-03-16,26.47,GBP,Cheque,Completed,BK912310,0.0,26.47,C133.0,Finance System
20221,ANON-7611,2024-07-04,50.62,GBP,Direct Debit,Completed,BK785451,0.0,50.62,,Finance System
20222,DNR-01049,2024-06-16,37.18,GBP,Direct Debit,Completed,BK294639,0.0,37.18,C132.0,Finance System
20223,DNR-01049,2024-03-26,41.65,GBP,Direct Debit,Completed,BK971308,0.0,41.65,C101.0,Finance System
20224,DNR-01049,2024-03-07,44.96,GBP,Direct Debit,Pending,BK943233,0.0,44.96,,Finance System
20225,DNR-01049,2024-07-06,47.13,GBP,Direct Debit,Completed,BK869324,0.0,47.13,,Finance System
20226,DNR-01049,2023-09-19,29.12,GBP,Direct Debit,Completed,BK740316,0.0,29.12,C123.0,Finance System
20227,DNR-01049,2024-09-19,40.2,GBP,Card,Completed,BK516879,1.01,39.190000000000005,C124.0,Finance System
20228,ANON-5739,2024-08-08,52.39,GBP,Direct Debit,Failed,BK535470,0.0,52.39,C122.0,Finance System
20229,DNR-01049,2024-03-05,37.34,GBP,Card,Completed,BK535468,0.93,36.410000000000004,,Finance System
20230,DNR-01049,2024-03-29,31.59,GBP,Direct Debit,Completed,BK163274,0.0,31.59,,Finance System
20231,DNR-01049,2024-04-22,38.63,GBP,Direct Debit,Completed,BK311897,0.0,38.63,,Finance System
20232,DNR-01049,2023-06-18,33.56,GBP,Direct Debit,Pending,BK382872,0.0,33.56,C108.0,Finance System
20233,DNR-01050,2024-09-22,143.82,GBP,Direct Debit,Completed,BK978566,0.0,143.82,C124.0,Finance System
20234,DNR-01050,2024-10-03,117.9,GBP,Direct Debit,Completed,BK155845,0.0,117.9,C124.0,Finance System
20235,ANON-4612,2024-09-07,263.07,GBP,Direct Debit,Completed,BK237224,0.0,263.07,C106.0,Finance System
20236,DNR-01051,2024-07-29,18.92,GBP,Direct Debit,Completed,BK891995,0.0,18.92,C134.0,Finance System
20237,DNR-01051,2023-12-09,11.34,GBP,Direct Debit,Completed,BK490338,0.0,11.34,,Finance System
20238,DNR-01051,2023-12-30,17.21,GBP,Direct Debit,Pending,BK203876,0.0,17.21,C105.0,Finance System
20239,DNR-01051,2024-01-24,10.78,GBP,Direct Debit,Completed,BK575244,0.0,10.78,C128.0,Finance System
20240,DNR-01051,2024-05-24,12.95,GBP,Direct Debit,Pending,BK320958,0.0,12.95,C120.0,Finance System
20241,DNR-01051,2024-07-20,12.04,GBP,Direct Debit,Completed,BK784609,0.0,12.04,C127.0,Finance System
20242,DNR-01052,2024-07-31,29.88,GBP,Card,Refunded,BK528231,0.75,29.13,C127.0,Finance System
20243,DNR-01054,2024-11-18,5.0,GBP,Cash,Completed,BK361320,0.0,5.0,,Finance System
