history_id,donor_id,contact_type,contact_date,contact_outcome,campaign_id,staff_member,notes,valid_from,valid_to,is_current
40075,5232,SMS,2023-08-07,Delivered,103.0,Ahmed R,SMS contact - Delivered,2023-08-07,,False
40076,5232,Phone,2024-02-01,No Answer,,Sarah M,Phone contact - No Answer,2024-02-01,,False
40077,5232,Email,2024-02-23,Delivered,133.0,James K,Email contact - Delivered,2024-02-23,,False
40078,5232,Phone,2023-04-24,Delivered,109.0,Ahmed R,Phone contact - Delivered,2023-04-24,,True
40079,4161,Phone,2024-04-24,Successful,109.0,Sarah M,Phone contact - Successful,2024-04-24,,False
40080,4161,Phone,2023-10-27,No Answer,114.0,Sarah M,Phone contact - No Answer,2023-10-27,,False
40081,4161,Email,2023-06-30,Delivered,115.0,James K,Email contact - Delivered,2023-06-30,,False
40082,4161,Phone,2023-02-13,Successful,,Ahmed R,Phone contact - Successful,2023-02-13,,False
40083,4161,Email,2024-08-06,Delivered,106.0,Priya S,Email contact - Delivered,2024-08-06,,False
40084,4161,Phone,2023-01-01,Successful,,James K,Phone contact - Successful,2023-01-01,,True
40085,2401,Phone,2024-08-14,Successful,,Emily L,Phone contact - Successful,2024-08-14,,False
40086,2401,SMS,2024-08-30,Opted Out,104.0,Priya S,SMS contact - Opted Out,2024-08-30,2025-02-07,False
40087,2401,SMS,2023-09-27,Bounced,105.0,Sarah M,SMS contact - Bounced,2023-09-27,,False
40088,2401,Direct Mail,2024-04-30,Delivered,114.0,James K,Direct Mail contact - Delivered,2024-04-30,,False
40089,2401,Email,2023-07-16,Delivered,131.0,Priya S,Email contact - Delivered,2023-07-16,,False
40090,2401,SMS,2024-09-05,No Answer,,James K,SMS contact - No Answer,2024-09-05,,False
40091,2401,Phone,2024-05-07,Successful,,Ahmed R,Phone contact - Successful,2024-05-07,,False
40092,2401,Email,2024-03-06,Delivered,132.0,Priya S,Email contact - Delivered,2024-03-06,,False
40093,2401,Phone,2023-04-19,Delivered,,Sarah M,Phone contact - Delivered,2023-04-19,,True
40094,6088,Phone,2023-02-21,No Answer,,Sarah M,Phone contact - No Answer,2023-02-21,,False
40095,6088,Email,2023-03-26,Successful,113.0,Sarah M,Email contact - Successful,2023-03-26,,False
40096,6088,Email,2024-10-30,Successful,126.0,Ahmed R,Email contact - Successful,2024-10-30,,True
40097,2350,SMS,2024-10-28,Opted Out,,Sarah M,SMS contact - Opted Out,2024-10-28,2025-02-24,False
40098,2350,Direct Mail,2024-05-15,Delivered,,Sarah M,Direct Mail contact - Delivered,2024-05-15,,False
40099,2350,SMS,2024-05-13,Delivered,127.0,Priya S,SMS contact - Delivered,2024-05-13,,False
40100,2350,Phone,2024-05-24,No Answer,111.0,James K,Phone contact - No Answer,2024-05-24,,False
40101,2350,Email,2024-04-21,Opted Out,,James K,Email contact - Opted Out,2024-04-21,,True
40102,6537,SMS,2023-11-27,Successful,,Sarah M,SMS contact - Successful,2023-11-27,,False
40103,6537,Phone,2023-07-08,No Answer,,Priya S,Phone contact - No Answer,2023-07-08,,False
40104,6537,Email,2024-08-07,Delivered,102.0,Priya S,Email contact - Delivered,2024-08-07,,False
40105,6537,SMS,2023-11-29,Successful,,Sarah M,SMS contact - Successful,2023-11-29,,False
40106,6537,Email,2023-06-19,Successful,103.0,Emily L,Email contact - Successful,2023-06-19,,True
40107,5431,Phone,2023-04-15,Successful,134.0,Priya S,Phone contact - Successful,2023-04-15,,False
40108,5431,Phone,2023-09-09,Successful,107.0,Emily L,Phone contact - Successful,2023-09-09,,False
40109,5431,SMS,2024-09-04,Successful,,James K,SMS contact - Successful,2024-09-04,,False
40110,5431,Phone,2024-07-16,No Answer,100.0,Sarah M,Phone contact - No Answer,2024-07-16,,False
40111,5431,Direct Mail,2023-02-15,Delivered,105.0,Ahmed R,Direct Mail contact - Delivered,2023-02-15,,False
40112,5431,Phone,2023-10-16,No Answer,,Sarah M,Phone contact - No Answer,2023-10-16,,False
40113,5431,Email,2024-02-02,Bounced,,Emily L,Email contact - Bounced,2024-02-02,,False
40114,5431,SMS,2024-09-30,Delivered,114.0,Sarah M,SMS contact - Delivered,2024-09-30,,False
40115,5431,Email,2023-11-02,Delivered,106.0,Sarah M,Email contact - Delivered,2023-11-02,,False
40116,5431,Direct Mail,2024-08-04,Delivered,102.0,James K,Direct Mail contact - Delivered,2024-08-04,,False
40117,5431,Phone,2023-02-26,Successful,,Sarah M,Phone contact - Successful,2023-02-26,,False
40118,5431,SMS,2023-12-23,Successful,132.0,Ahmed R,SMS contact - Successful,2023-12-23,,False
40119,5431,SMS,2023-02-21,Delivered,101.0,Emily L,SMS contact - Delivered,2023-02-21,,False
40120,5431,SMS,2023-11-01,Opted Out,128.0,Emily L,SMS contact - Opted Out,2023-11-01,,True
40121,5677,Email,2024-11-23,Successful,125.0,Emily L,Email contact - Successful,2024-11-23,,False
40122,5677,Email,2023-06-18,Delivered,106.0,Emily L,Email contact - Delivered,2023-06-18,,False
40123,5677,Phone,2024-10-01,Successful,122.0,Sarah M,Phone contact - Successful,2024-10-01,,False
40124,5677,SMS,2024-03-16,Bounced,117.0,Ahmed R,SMS contact - Bounced,2024-03-16,,False
40125,5677,Email,2024-03-06,Bounced,105.0,Priya S,Email contact - Bounced,2024-03-06,,False
40126,5677,Phone,2024-08-22,No Answer,,Sarah M,Phone contact - No Answer,2024-08-22,,False
40127,5677,Phone,2023-12-06,Successful,,Ahmed R,Phone contact - Successful,2023-12-06,,False
40128,5677,Phone,2024-07-11,Successful,,Priya S,Phone contact - Successful,2024-07-11,,True
40129,4902,Phone,2024-05-17,Successful,,Emily L,Phone contact - Successful,2024-05-17,,False
40130,4902,Phone,2024-09-28,No Answer,113.0,Sarah M,Phone contact - No Answer,2024-09-28,,False
40131,4902,Phone,2024-10-23,Opted Out,112.0,Emily L,Phone contact - Opted Out,2024-10-23,2025-01-08,False
40132,4902,Email,2023-02-14,Successful,114.0,Sarah M,Email contact - Successful,2023-02-14,,False
40133,4902,Direct Mail,2024-07-27,Delivered,102.0,James K,Direct Mail contact - Delivered,2024-07-27,,True
40134,1780,Phone,2024-05-31,Successful,125.0,James K,Phone contact - Successful,2024-05-31,,False
40135,1780,Direct Mail,2023-12-16,Delivered,,Emily L,Direct Mail contact - Delivered,2023-12-16,,False
40136,1780,Phone,2024-08-25,No Answer,,Emily L,Phone contact - No Answer,2024-08-25,,False
40137,1780,Phone,2024-11-24,No Answer,,Ahmed R,Phone contact - No Answer,2024-11-24,,False
40138,1780,Direct Mail,2023-05-10,Delivered,132.0,Sarah M,Direct Mail contact - Delivered,2023-05-10,,False
40139,1780,Phone,2023-12-10,No Answer,105.0,Emily L,Phone contact - No Answer,2023-12-10,,False
40140,1780,Email,2024-10-19,Delivered,124.0,Emily L,Email contact - Delivered,2024-10-19,,False
40141,1780,SMS,2023-09-12,Opted Out,,Sarah M,SMS contact - Opted Out,2023-09-12,2024-02-14,False
40142,1780,Email,2023-07-31,Successful,108.0,Emily L,Email contact - Successful,2023-07-31,,False
40143,1780,Direct Mail,2023-05-06,Delivered,119.0,Emily L,Direct Mail contact - Delivered,2023-05-06,,False
40144,1780,Email,2024-09-16,Successful,,Emily L,Email contact - Successful,2024-09-16,,False
40145,1780,SMS,2024-01-21,Bounced,113.0,Priya S,SMS contact - Bounced,2024-01-21,,True
40146,1790,Phone,2023-06-18,No Answer,111.0,Emily L,Phone contact - No Answer,2023-06-18,,False
40147,1790,Email,2024-04-07,Delivered,124.0,Emily L,Email contact - Delivered,2024-04-07,,False
40148,1790,Email,2024-07-31,Delivered,,Sarah M,Email contact - Delivered,2024-07-31,,False
40149,1790,SMS,2024-01-14,Delivered,122.0,Sarah M,SMS contact - Delivered,2024-01-14,,False
40150,1790,Phone,2023-02-25,No Answer,104.0,Emily L,Phone contact - No Answer,2023-02-25,,False
40151,1790,Phone,2023-08-20,No Answer,,Ahmed R,Phone contact - No Answer,2023-08-20,,False
40152,1790,Phone,2023-06-26,No Answer,,Sarah M,Phone contact - No Answer,2023-06-26,,False
40153,1790,SMS,2023-09-24,Successful,,Ahmed R,SMS contact - Successful,2023-09-24,,False
40154,1790,SMS,2023-08-18,Opted Out,101.0,Ahmed R,SMS contact - Opted Out,2023-08-18,,True
40155,1304,Phone,2024-01-23,Delivered,,Sarah M,Phone contact - Delivered,2024-01-23,,False
40156,1304,Email,2024-05-16,Bounced,103.0,Priya S,Email contact - Bounced,2024-05-16,,False
40157,1304,SMS,2024-08-07,Bounced,,Emily L,SMS contact - Bounced,2024-08-07,,False
40158,1304,SMS,2024-08-14,Successful,109.0,Sarah M,SMS contact - Successful,2024-08-14,,False
40159,1304,SMS,2024-10-02,Successful,,James K,SMS contact - Successful,2024-10-02,,False
40160,1304,Direct Mail,2023-06-16,Opted Out,116.0,James K,Direct Mail contact - Opted Out,2023-06-16,2023-09-18,False
40161,1304,Direct Mail,2023-12-21,Delivered,108.0,Ahmed R,Direct Mail contact - Delivered,2023-12-21,,False
40162,1304,Direct Mail,2023-02-01,Delivered,102.0,James K,Direct Mail contact - Delivered,2023-02-01,,True
40163,6020,SMS,2024-01-19,Delivered,112.0,James K,SMS contact - Delivered,2024-01-19,,False
40164,6020,Phone,2023-06-11,Successful,118.0,Sarah M,Phone contact - Successful,2023-06-11,,False
40165,6020,Direct Mail,2024-01-27,Delivered,125.0,Ahmed R,Direct Mail contact - Delivered,2024-01-27,,False
40166,6020,Direct Mail,2023-02-04,Delivered,101.0,Emily L,Direct Mail contact - Delivered,2023-02-04,,False
40167,6020,Direct Mail,2024-03-22,Delivered,,Ahmed R,Direct Mail contact - Delivered,2024-03-22,,False
40168,6020,SMS,2024-10-03,Delivered,,Sarah M,SMS contact - Delivered,2024-10-03,,False
40169,6020,SMS,2023-05-23,Successful,130.0,Priya S,SMS contact - Successful,2023-05-23,,False
40170,6020,Phone,2024-10-08,No Answer,,James K,Phone contact - No Answer,2024-10-08,,False
40171,6020,Email,2023-02-06,Delivered,,Emily L,Email contact - Delivered,2023-02-06,,True
40172,3028,Email,2023-02-18,Delivered,130.0,James K,Email contact - Delivered,2023-02-18,,False
40173,3028,Direct Mail,2024-05-07,Delivered,117.0,Ahmed R,Direct Mail contact - Delivered,2024-05-07,,False
40174,3028,Phone,2023-12-13,Successful,,Priya S,Phone contact - Successful,2023-12-13,,False
40175,3028,Phone,2023-11-13,No Answer,120.0,Emily L,Phone contact - No Answer,2023-11-13,,False
40176,3028,Phone,2023-12-28,No Answer,104.0,Priya S,Phone contact - No Answer,2023-12-28,,False
40177,3028,Phone,2023-05-04,Successful,,Ahmed R,Phone contact - Successful,2023-05-04,,False
40178,3028,Direct Mail,2023-04-06,Bounced,118.0,Ahmed R,Direct Mail contact - Bounced,2023-04-06,,False
40179,3028,Direct Mail,2024-11-08,Delivered,122.0,Sarah M,Direct Mail contact - Delivered,2024-11-08,,False
40180,3028,Email,2024-04-26,Delivered,114.0,Ahmed R,Email contact - Delivered,2024-04-26,,False
40181,3028,Email,2024-10-28,Delivered,,Emily L,Email contact - Delivered,2024-10-28,,False
40182,3028,Phone,2024-11-09,Successful,116.0,Emily L,Phone contact - Successful,2024-11-09,,True
40183,6901,Email,2024-09-15,Delivered,111.0,James K,Email contact - Delivered,2024-09-15,,False
40184,6901,SMS,2023-04-15,Delivered,,Emily L,SMS contact - Delivered,2023-04-15,,False
40185,6901,Direct Mail,2024-08-05,Delivered,,James K,Direct Mail contact - Delivered,2024-08-05,,False
40186,6901,SMS,2023-06-16,Delivered,122.0,James K,SMS contact - Delivered,2023-06-16,,False
40187,6901,Email,2023-05-31,Successful,110.0,Emily L,Email contact - Successful,2023-05-31,,False
40188,6901,Phone,2023-02-19,Successful,129.0,Sarah M,Phone contact - Successful,2023-02-19,,False
40189,6901,Direct Mail,2024-03-08,Delivered,,Sarah M,Direct Mail contact - Delivered,2024-03-08,,False
40190,6901,SMS,2024-07-04,Successful,,Ahmed R,SMS contact - Successful,2024-07-04,,False
40191,6901,SMS,2023-07-30,Successful,101.0,Sarah M,SMS contact - Successful,2023-07-30,,False
40192,6901,Direct Mail,2023-10-01,Delivered,,Priya S,Direct Mail contact - Delivered,2023-10-01,,False
40193,6901,Email,2023-05-26,Delivered,125.0,James K,Email contact - Delivered,2023-05-26,,True
40194,2836,Direct Mail,2023-02-14,Delivered,116.0,Priya S,Direct Mail contact - Delivered,2023-02-14,,False
40195,2836,Phone,2023-04-26,Successful,,Sarah M,Phone contact - Successful,2023-04-26,,False
40196,2836,Direct Mail,2023-07-29,Delivered,,Priya S,Direct Mail contact - Delivered,2023-07-29,,True
40197,5349,Phone,2023-05-17,Successful,117.0,Ahmed R,Phone contact - Successful,2023-05-17,,False
40198,5349,Email,2023-03-21,Delivered,130.0,Sarah M,Email contact - Delivered,2023-03-21,,False
40199,5349,Phone,2023-04-04,No Answer,,Emily L,Phone contact - No Answer,2023-04-04,,False
40200,5349,Email,2024-08-05,Delivered,111.0,Priya S,Email contact - Delivered,2024-08-05,,False
40201,5349,Direct Mail,2023-08-11,Delivered,129.0,James K,Direct Mail contact - Delivered,2023-08-11,,False
40202,5349,Phone,2023-11-04,Successful,102.0,Emily L,Phone contact - Successful,2023-11-04,,False
40203,5349,Phone,2023-07-21,Successful,113.0,Priya S,Phone contact - Successful,2023-07-21,,False
40204,5349,Phone,2023-09-25,Delivered,120.0,James K,Phone contact - Delivered,2023-09-25,,False
40205,5349,SMS,2024-01-12,Opted Out,112.0,Emily L,SMS contact - Opted Out,2024-01-12,2024-02-21,False
40206,5349,Direct Mail,2024-05-11,Delivered,120.0,Ahmed R,Direct Mail contact - Delivered,2024-05-11,,False
40207,5349,Direct Mail,2023-03-13,Delivered,,James K,Direct Mail contact - Delivered,2023-03-13,,True
40208,6572,Email,2023-02-15,Delivered,108.0,Sarah M,Email contact - Delivered,2023-02-15,,False
40209,6572,Direct Mail,2023-11-15,Delivered,132.0,Emily L,Direct Mail contact - Delivered,2023-11-15,,False
40210,6572,Email,2024-04-15,Delivered,134.0,Priya S,Email contact - Delivered,2024-04-15,,False
40211,6572,SMS,2024-02-11,Successful,,Sarah M,SMS contact - Successful,2024-02-11,,False
40212,6572,Direct Mail,2024-02-20,Delivered,118.0,Priya S,Direct Mail contact - Delivered,2024-02-20,,True
40213,7188,Email,2023-01-27,Bounced,,Ahmed R,Email contact - Bounced,2023-01-27,,False
40214,7188,Phone,2024-07-09,No Answer,114.0,Emily L,Phone contact - No Answer,2024-07-09,,False
40215,7188,Direct Mail,2024-06-12,Delivered,106.0,James K,Direct Mail contact - Delivered,2024-06-12,,False
40216,7188,Email,2023-05-20,Delivered,,Emily L,Email contact - Delivered,2023-05-20,,False
40217,7188,SMS,2023-03-25,Delivered,,Ahmed R,SMS contact - Delivered,2023-03-25,,False
40218,7188,Phone,2023-09-09,Opted Out,120.0,James K,Phone contact - Opted Out,2023-09-09,,True
40219,2286,SMS,2024-08-06,Bounced,,James K,SMS contact - Bounced,2024-08-06,,False
40220,2286,Direct Mail,2024-05-28,Opted Out,,James K,Direct Mail contact - Opted Out,2024-05-28,2024-10-18,False
40221,2286,Phone,2024-08-16,No Answer,115.0,Emily L,Phone contact - No Answer,2024-08-16,,False
40222,2286,Phone,2023-03-15,Successful,,Sarah M,Phone contact - Successful,2023-03-15,,False
40223,2286,Direct Mail,2023-12-12,Delivered,,Ahmed R,Direct Mail contact - Delivered,2023-12-12,,False
40224,2286,SMS,2023-03-19,No Answer,132.0,Emily L,SMS contact - No Answer,2023-03-19,,True
40225,7316,Email,2024-11-03,Successful,103.0,Priya S,Email contact - Successful,2024-11-03,,False
40226,7316,Phone,2024-04-02,No Answer,,Emily L,Phone contact - No Answer,2024-04-02,,False
40227,7316,Phone,2023-07-25,No Answer,,Sarah M,Phone contact - No Answer,2023-07-25,,False
40228,7316,Phone,2023-12-10,Successful,,Ahmed R,Phone contact - Successful,2023-12-10,,False
40229,7316,Phone,2024-04-12,No Answer,118.0,Emily L,Phone contact - No Answer,2024-04-12,,False
40230,7316,Direct Mail,2023-07-28,Delivered,108.0,Priya S,Direct Mail contact - Delivered,2023-07-28,,False
40231,7316,Direct Mail,2023-01-30,Opted Out,,Emily L,Direct Mail contact - Opted Out,2023-01-30,2023-05-16,False
40232,7316,Email,2023-08-14,Delivered,104.0,Emily L,Email contact - Delivered,2023-08-14,,False
40233,7316,Phone,2024-11-22,Successful,,James K,Phone contact - Successful,2024-11-22,,False
40234,7316,Direct Mail,2023-12-07,Delivered,107.0,Sarah M,Direct Mail contact - Delivered,2023-12-07,,False
40235,7316,SMS,2024-03-11,Delivered,121.0,Sarah M,SMS contact - Delivered,2024-03-11,,True
40236,6632,Email,2023-08-01,Delivered,115.0,James K,Email contact - Delivered,2023-08-01,,False
40237,6632,Email,2024-06-28,Successful,105.0,Sarah M,Email contact - Successful,2024-06-28,,False
40238,6632,Email,2023-09-06,Successful,,Ahmed R,Email contact - Successful,2023-09-06,,False
40239,6632,Email,2024-02-06,Delivered,118.0,Priya S,Email contact - Delivered,2024-02-06,,False
40240,6632,SMS,2024-10-16,Successful,102.0,James K,SMS contact - Successful,2024-10-16,,False
40241,6632,Direct Mail,2023-12-13,Delivered,115.0,Ahmed R,Direct Mail contact - Delivered,2023-12-13,,False
40242,6632,Phone,2024-05-18,Successful,116.0,Emily L,Phone contact - Successful,2024-05-18,,False
40243,6632,SMS,2023-04-27,Delivered,,Ahmed R,SMS contact - Delivered,2023-04-27,,False
40244,6632,SMS,2023-09-09,Successful,,Priya S,SMS contact - Successful,2023-09-09,,False
40245,6632,Direct Mail,2023-05-16,Delivered,111.0,Priya S,Direct Mail contact - Delivered,2023-05-16,,False
40246,6632,SMS,2024-07-09,Successful,,Ahmed R,SMS contact - Successful,2024-07-09,,False
40247,6632,Direct Mail,2024-05-05,Delivered,,Priya S,Direct Mail contact - Delivered,2024-05-05,,True
40248,7025,Email,2024-03-21,Delivered,126.0,Priya S,Email contact - Delivered,2024-03-21,,False
40249,7025,Phone,2023-09-16,No Answer,125.0,James K,Phone contact - No Answer,2023-09-16,,False
40250,7025,Email,2023-05-31,Delivered,,Ahmed R,Email contact - Delivered,2023-05-31,,False
40251,7025,Email,2023-04-30,Bounced,,Emily L,Email contact - Bounced,2023-04-30,,False
40252,7025,Phone,2024-08-02,No Answer,114.0,James K,Phone contact - No Answer,2024-08-02,,False
40253,7025,Direct Mail,2024-09-01,Delivered,114.0,James K,Direct Mail contact - Delivered,2024-09-01,,False
40254,7025,Direct Mail,2024-05-28,Delivered,117.0,Sarah M,Direct Mail contact - Delivered,2024-05-28,,False
40255,7025,Email,2024-02-13,Successful,127.0,James K,Email contact - Successful,2024-02-13,,False
40256,7025,Direct Mail,2023-09-02,Delivered,131.0,James K,Direct Mail contact - Delivered,2023-09-02,,False
40257,7025,Email,2024-07-19,Delivered,122.0,Sarah M,Email contact - Delivered,2024-07-19,,True
40258,6543,SMS,2023-09-10,Delivered,106.0,Ahmed R,SMS contact - Delivered,2023-09-10,,False
40259,6543,Phone,2023-12-17,No Answer,,Priya S,Phone contact - No Answer,2023-12-17,,False
40260,6543,Email,2024-03-07,Delivered,119.0,James K,Email contact - Delivered,2024-03-07,,False
40261,6543,Phone,2024-10-13,No Answer,133.0,Emily L,Phone contact - No Answer,2024-10-13,,False
40262,6543,Email,2023-08-06,Successful,132.0,James K,Email contact - Successful,2023-08-06,,False
40263,6543,Direct Mail,2023-05-24,Delivered,127.0,James K,Direct Mail contact - Delivered,2023-05-24,,False
40264,6543,Phone,2024-05-31,Successful,,Sarah M,Phone contact - Successful,2024-05-31,,False
40265,6543,Email,2023-11-19,Delivered,,Emily L,Email contact - Delivered,2023-11-19,,True
40266,6269,Direct Mail,2024-06-07,Delivered,107.0,Sarah M,Direct Mail contact - Delivered,2024-06-07,,False
40267,6269,Direct Mail,2024-10-25,Delivered,114.0,Emily L,Direct Mail contact - Delivered,2024-10-25,,False
