donation_id,donor_id,donation_date,amount,campaign_id,payment_method,gift_type,gift_aid_claimed
10043,1014,2024-09-26,5.0,124.0,Card,One-off,No
10044,1014,2024-09-19,5.0,107.0,Card,One-off,Yes
10045,1014,2024-06-16,5.0,132.0,Cash,One-off,Yes
10046,1014,2023-03-20,5.0,110.0,Bank Transfer,One-off,Yes
10047,1014,2024-01-18,5.0,129.0,Bank Transfer,One-off,No
10048,1014,2024-07-29,5.0,134.0,Card,One-off,No
10049,1015,2024-07-17,83.97,127.0,Cash,One-off,Yes
10050,1016,2024-07-28,6.92,134.0,Card,One-off,Yes
10051,1016,2024-10-02,7.13,124.0,Card,One-off,Yes
10052,1016,2023-12-23,5.13,105.0,Bank Transfer,One-off,Yes
10053,1016,2024-02-27,6.66,119.0,Cash,One-off,Yes
10054,1019,2023-08-14,5.62,130.0,Bank Transfer,One-off,Yes
10055,1019,2024-01-11,8.31,105.0,Card,One-off,No
10056,1019,2024-08-26,6.66,102.0,Bank Transfer,One-off,Yes
10057,1021,2023-03-08,224.43,100.0,Direct Debit,Regular,No
10058,1021,2023-08-29,172.38,,Direct Debit,Regular,Yes
10059,1021,2023-09-25,156.26,,Direct Debit,Regular,Yes
10060,1021,2023-07-01,196.73,,Card,Regular,Yes
10061,1021,2024-04-30,121.45,104.0,Direct Debit,Regular,Yes
10062,1021,2023-03-09,222.24,110.0,Direct Debit,Regular,Yes
10063,1021,2023-05-26,220.55,,Direct Debit,One-off,Yes
10064,1021,2024-07-16,181.74,127.0,Direct Debit,One-off,No
10065,1021,2023-08-22,251.78,,Direct Debit,Regular,Yes
10066,1021,2023-02-01,248.02,113.0,Direct Debit,One-off,No
10067,1021,2023-03-27,185.09,100.0,Direct Debit,Regular,Yes
10068,1021,2024-01-21,214.23,129.0,Direct Debit,Regular,Yes
10069,1021,2024-03-20,145.56,119.0,Direct Debit,Regular,Yes
10070,1021,2024-09-20,158.98,124.0,Direct Debit,One-off,Yes
10071,1021,2023-08-26,200.92,,Direct Debit,Regular,No
10072,1021,2024-08-25,115.19,125.0,Direct Debit,Regular,No
10073,1021,2023-02-14,191.95,118.0,Card,Regular,Yes
10074,1021,2024-06-11,174.52,120.0,Cash,Regular,No
10075,1021,2023-09-22,164.16,,Direct Debit,Regular,Yes
10076,1021,2024-01-05,213.91,105.0,Card,Regular,Yes
10077,1021,2023-11-07,162.1,,Direct Debit,Regular,Yes
10078,1021,2023-09-25,190.47,,Direct Debit,Regular,No
10079,1021,2023-01-31,221.07,131.0,Direct Debit,One-off,No
10080,1021,2023-01-21,80.84,,Direct Debit,Regular,Yes
10081,1021,2023-12-13,96.21,112.0,Direct Debit,Regular,Yes
10082,1021,2023-01-28,182.44,113.0,Direct Debit,Regular,No
10083,1021,2023-06-01,190.56,126.0,Direct Debit,Regular,No
10084,1021,2023-11-18,247.05,,Direct Debit,Regular,No
10085,1021,2023-03-12,241.4,114.0,Direct Debit,Regular,Yes
10086,1021,2024-01-10,182.48,105.0,Direct Debit,Regular,Yes
10087,1021,2023-01-08,211.61,,Direct Debit,Regular,No
10088,1021,2023-07-11,201.81,,Direct Debit,Regular,No
10089,1021,2024-01-04,321.95,105.0,Direct Debit,Regular,Yes
10090,1021,2024-01-09,204.83,129.0,Card,Regular,Yes
10091,1022,2024-02-25,25.54,119.0,Card,One-off,No
10092,1022,2023-08-31,35.03,109.0,Cash,One-off,Yes
10093,1023,2024-08-28,20.59,102.0,Cash,One-off,No
10094,1024,2024-09-15,20.28,107.0,Card,One-off,No
10095,1024,2023-08-14,19.7,109.0,Card,One-off,Yes
10096,1025,2024-06-04,9.82,120.0,Cash,One-off,Yes
10097,1026,2024-09-14,13.96,106.0,Cash,One-off,No
10098,1026,2023-03-01,12.98,100.0,Cash,One-off,No
10099,1026,2023-03-09,15.5,100.0,Card,One-off,Yes
10100,1026,2023-01-18,6.25,,Bank Transfer,One-off,Yes
10101,1026,2024-09-09,12.12,124.0,Bank Transfer,One-off,No
10102,1026,2023-05-24,7.56,108.0,Card,One-off,Yes
10103,1028,2024-06-16,10.42,132.0,Bank Transfer,One-off,Yes
10104,1028,2023-03-03,12.22,110.0,Bank Transfer,One-off,Yes
10105,1028,2024-09-16,11.76,106.0,Cheque,One-off,No
10106,1028,2023-06-17,13.09,108.0,Cash,One-off,Yes
10107,1029,2023-08-20,23.27,116.0,Bank Transfer,One-off,No
10108,1030,2024-07-29,72.66,134.0,Bank Transfer,One-off,No
10109,1030,2024-08-06,46.26,127.0,Cash,One-off,Yes
10110,1030,2024-08-22,54.25,102.0,Cash,One-off,Yes
10111,1031,2024-03-14,16.08,133.0,Direct Debit,Regular,Yes
10112,1031,2024-09-24,31.11,107.0,Direct Debit,Regular,No
10113,1031,2023-11-25,31.11,112.0,Direct Debit,Regular,Yes
10114,1031,2024-10-03,10.4,124.0,Direct Debit,Regular,Yes
10115,1031,2023-09-11,24.83,123.0,Direct Debit,Regular,Yes
10116,1031,2024-07-28,21.73,134.0,Direct Debit,Regular,No
10117,1031,2023-08-22,28.11,109.0,Direct Debit,Regular,Yes
10118,1032,2024-07-20,9.76,127.0,Card,One-off,Yes
10119,1032,2023-08-10,13.44,116.0,Cheque,One-off,Yes
10120,1032,2024-08-16,12.72,122.0,Cash,One-off,Yes
10121,1032,2024-01-28,20.85,,Bank Transfer,One-off,Yes
10122,1033,2024-07-29,16.62,134.0,Cash,One-off,Yes
10123,1033,2023-02-05,23.68,113.0,Card,One-off,Yes
10124,1033,2023-09-19,19.68,123.0,Cash,One-off,No
10125,1033,2024-07-29,5.0,134.0,Bank Transfer,One-off,No
10126,1033,2024-01-20,13.53,128.0,Bank Transfer,One-off,Yes
10127,1033,2023-02-12,17.37,131.0,Card,One-off,Yes
10128,1033,2023-08-15,17.54,116.0,Card,One-off,Yes
10129,1033,2024-08-07,7.97,122.0,Card,One-off,No
10130,1033,2024-09-07,18.0,106.0,Cash,One-off,Yes
10131,1033,2023-08-08,11.7,116.0,Card,One-off,Yes
10132,1033,2023-03-24,10.82,114.0,Card,One-off,Yes
10133,1033,2023-02-23,22.36,,Card,One-off,No
10134,1033,2024-06-06,15.47,120.0,Card,One-off,Yes
10135,1034,2023-10-20,97.48,,Bank Transfer,One-off,No
10136,1035,2023-03-11,11.01,100.0,Card,One-off,Yes
10137,1035,2024-03-18,14.54,119.0,Cash,One-off,Yes
10138,1035,2023-03-30,13.15,,Card,One-off,Yes
10139,1035,2023-04-23,9.0,111.0,Cash,One-off,Yes
10140,1036,2023-08-11,126.04,,Cash,One-off,Yes
10141,1036,2023-02-12,36.21,118.0,Bank Transfer,One-off,Yes
10142,1036,2023-01-01,90.96,,Bank Transfer,One-off,Yes
10143,1036,2023-03-03,95.92,,Bank Transfer,One-off,Yes
10144,1036,2024-09-27,115.99,107.0,Card,One-off,No
10145,1036,2024-03-16,45.0,133.0,Card,One-off,No
10146,1036,2024-09-14,39.64,106.0,Cash,One-off,No
10147,1036,2023-05-21,82.73,111.0,Bank Transfer,One-off,Yes
10148,1036,2024-01-08,102.59,129.0,Card,One-off,No
10149,1036,2023-12-16,26.82,112.0,Card,One-off,Yes
10150,1036,2023-02-25,95.43,118.0,Card,One-off,No
10151,1036,2023-03-02,114.7,100.0,Bank Transfer,One-off,Yes
10152,1036,2024-08-19,65.13,125.0,Bank Transfer,One-off,No
10153,1036,2024-03-14,73.99,133.0,Card,One-off,No
10154,1038,2024-03-27,43.14,,Bank Transfer,One-off,Yes
10155,1038,2024-02-02,48.29,128.0,Bank Transfer,One-off,Yes
10156,1038,2024-09-21,15.04,106.0,Card,One-off,No
10157,1038,2024-01-22,21.06,129.0,Cash,One-off,No
10158,1039,2023-03-25,98.22,100.0,Card,One-off,No
10159,1039,2023-06-15,101.11,108.0,Card,One-off,Yes
10160,1039,2024-01-28,121.99,128.0,Bank Transfer,One-off,Yes
10161,1039,2023-11-22,89.72,112.0,Bank Transfer,One-off,Yes
10162,1039,2023-03-17,68.38,103.0,Card,One-off,Yes
10163,1039,2023-07-22,112.7,,Cheque,One-off,Yes
10164,1039,2023-08-18,86.82,116.0,Card,One-off,No
10165,1039,2024-08-17,107.43,102.0,Bank Transfer,One-off,No
10166,1039,2024-07-10,59.47,127.0,Cash,One-off,No
10167,1039,2023-02-20,81.29,118.0,Card,One-off,Yes
10168,1039,2023-09-12,34.33,123.0,Card,One-off,Yes
10169,1039,2023-08-19,97.13,,Bank Transfer,One-off,No
10170,1040,2024-09-02,18.49,125.0,Card,One-off,No
10171,1040,2024-06-15,15.84,132.0,Card,One-off,No
10172,1040,2024-08-29,5.0,125.0,Card,One-off,Yes
10173,1041,2024-08-16,12.39,102.0,Bank Transfer,One-off,No
10174,1041,2024-06-15,16.08,132.0,Card,One-off,Yes
10175,1041,2023-02-21,17.77,118.0,Cash,One-off,Yes
10176,1041,2024-01-14,10.25,105.0,Bank Transfer,One-off,Yes
10177,1041,2023-06-05,10.62,108.0,Bank Transfer,One-off,Yes
10178,1043,2024-04-26,9.16,104.0,Bank Transfer,One-off,Yes
10179,1044,2023-03-15,33.05,110.0,Bank Transfer,One-off,Yes
10180,1044,2024-07-19,29.7,122.0,Card,One-off,Yes
10181,1044,2024-08-11,35.79,122.0,Card,One-off,No
10182,1044,2023-04-05,20.16,,Card,One-off,Yes
10183,1044,2023-05-28,35.04,126.0,Card,One-off,Yes
10184,1044,2024-04-09,37.94,101.0,Card,One-off,Yes
10185,1044,2023-02-08,50.34,131.0,Bank Transfer,One-off,Yes
10186,1044,2024-01-15,34.66,129.0,Card,One-off,No
10187,1044,2023-08-16,17.1,117.0,Cash,One-off,No
10188,1044,2024-04-30,37.16,104.0,Card,One-off,No
10189,1045,2023-05-26,12.02,108.0,Card,One-off,Yes
10190,1045,2023-08-06,8.91,130.0,Card,One-off,Yes
10191,1047,2024-04-07,16.84,101.0,Bank Transfer,One-off,No
10192,1047,2023-12-07,22.81,,Card,One-off,Yes
10193,1047,2023-06-14,9.66,126.0,Card,One-off,No
10194,1047,2024-09-19,14.8,106.0,Card,One-off,Yes
10195,1047,2023-03-12,11.62,115.0,Card,One-off,No
10196,1047,2024-07-28,11.68,134.0,Bank Transfer,One-off,Yes
10197,1047,2023-02-19,17.29,115.0,Bank Transfer,One-off,Yes
10198,1047,2024-04-24,10.79,104.0,Card,One-off,No
10199,1048,2023-06-05,12.84,108.0,Bank Transfer,One-off,Yes
10200,1048,2023-02-19,10.22,115.0,Cash,One-off,No
10201,1049,2023-09-18,38.86,,Direct Debit,Regular,Yes
10202,1049,2024-05-20,30.16,120.0,Bank Transfer,Regular,No
10203,1049,2024-11-15,55.55,,Card,Regular,Yes
10204,1049,2024-12-28,44.34,,Direct Debit,Regular,No
10205,1049,2024-01-05,29.85,105.0,Bank Transfer,Regular,Yes
10206,1049,2024-02-18,48.07,,Direct Debit,Regular,No
10207,1049,2024-07-14,37.45,,Direct Debit,Regular,Yes
10208,1049,2023-08-13,44.1,117.0,Direct Debit,Regular,Yes
10209,1049,2024-12-30,23.79,,Card,Regular,Yes
10210,1049,2024-04-21,53.47,104.0,Direct Debit,Regular,Yes
10211,1049,2023-10-12,48.59,,Card,Regular,Yes
10212,1049,2024-06-08,21.8,,Direct Debit,Regular,Yes
10213,1049,2024-08-11,36.12,122.0,Direct Debit,Regular,No
10214,1049,2024-09-04,33.93,102.0,Direct Debit,Regular,No
10215,1049,2024-07-20,47.47,122.0,Direct Debit,Regular,Yes
10216,1049,2024-04-06,51.76,,Direct Debit,Regular,Yes
10217,1049,2024-07-07,40.12,,Direct Debit,One-off,Yes
10218,1049,2024-08-02,30.53,122.0,Direct Debit,Regular,Yes
10219,1049,2023-11-20,46.63,,Direct Debit,Regular,Yes
10220,1049,2024-03-16,26.47,133.0,Cheque,Regular,Yes
10221,1049,2024-07-04,50.62,,Direct Debit,Regular,No
10222,1049,2024-06-16,37.18,132.0,Direct Debit,Regular,Yes
10223,1049,2024-03-26,41.65,101.0,Direct Debit,Regular,Yes
10224,1049,2024-03-07,44.96,,Direct Debit,Regular,No
10225,1049,2024-07-06,47.13,,Direct Debit,Regular,No
10226,1049,2023-09-19,29.12,123.0,Direct Debit,Regular,No
10227,1049,2024-09-19,40.2,124.0,Card,Regular,Yes
10228,1049,2024-08-08,52.39,122.0,Direct Debit,Regular,Yes
10229,1049,2024-03-05,37.34,,Card,Regular,No
10230,1049,2024-03-29,31.59,,Direct Debit,Regular,No
10231,1049,2024-04-22,38.63,,Direct Debit,Regular,Yes
10232,1049,2023-06-18,33.56,108.0,Direct Debit,Regular,Yes
10233,1050,2024-09-22,143.82,124.0,Direct Debit,Regular,No
10234,1050,2024-10-03,117.9,124.0,Direct Debit,Regular,No
10235,1050,2024-09-07,263.07,106.0,Direct Debit,Regular,Yes
10236,1051,2024-07-29,18.92,134.0,Direct Debit,Regular,Yes
10237,1051,2023-12-09,11.34,,Direct Debit,Regular,Yes
10238,1051,2023-12-30,17.21,105.0,Direct Debit,Regular,Yes
10239,1051,2024-01-24,10.78,128.0,Direct Debit,Regular,No
10240,1051,2024-05-24,12.95,120.0,Direct Debit,One-off,No
10241,1051,2024-07-20,12.04,127.0,Direct Debit,Regular,No
10242,1052,2024-07-31,29.88,127.0,Card,One-off,No
10243,1054,2024-11-18,5.0,,Cash,One-off,No
10244,1056,2024-03-19,19.89,119.0,Direct Debit,Regular,No
10245,1056,2024-09-14,5.0,107.0,Direct Debit,Regular,Yes
10246,1056,2023-10-02,5.78,123.0,Direct Debit,One-off,No
10247,1056,2024-07-08,12.63,121.0,Direct Debit,Regular,Yes
10248,1056,2024-07-20,13.53,121.0,Bank Transfer,Regular,Yes
10249,1056,2023-08-17,10.62,109.0,Direct Debit,Regular,Yes
10250,1056,2024-06-15,11.02,132.0,Direct Debit,Regular,Yes
10251,1056,2024-02-20,14.03,119.0,Direct Debit,Regular,No
10252,1056,2023-06-20,18.13,126.0,Direct Debit,Regular,No
10253,1057,2024-09-13,10.59,107.0,Card,One-off,Yes
10254,1057,2023-06-22,13.14,126.0,Card,One-off,Yes
10255,1058,2023-11-23,8.31,112.0,Card,One-off,Yes
10256,1059,2024-01-22,269.0,128.0,Direct Debit,Regular,Yes
10257,1059,2024-01-04,323.89,129.0,Direct Debit,Regular,Yes
10258,1059,2024-01-20,125.34,129.0,Direct Debit,Regular,Yes
10259,1059,2023-02-13,158.43,118.0,Bank Transfer,Regular,Yes
10260,1059,2024-02-22,339.69,119.0,Direct Debit,Regular,Yes
10261,1059,2024-03-18,294.05,119.0,Direct Debit,Regular,No
10262,1059,2024-06-15,332.81,132.0,Direct Debit,Regular,No
10263,1059,2023-06-18,299.98,126.0,Card,Regular,Yes
10264,1059,2024-05-11,292.75,,Card,Regular,Yes
10265,1059,2024-10-06,226.26,124.0,Direct Debit,Regular,No
10266,1059,2024-06-16,110.33,132.0,Direct Debit,Regular,Yes
10267,1059,2023-08-01,229.46,116.0,Cash,Regular,Yes
10268,1059,2023-12-07,5.0,112.0,Direct Debit,Regular,Yes
10269,1063,2024-01-28,10.15,128.0,Direct Debit,Regular,Yes
10270,1063,2024-07-18,5.1,127.0,Cash,Regular,Yes
10271,1063,2023-03-24,9.47,,Direct Debit,One-off,Yes
10272,1063,2023-08-19,10.69,117.0,Direct Debit,Regular,Yes
10273,1063,2024-03-26,5.85,101.0,Direct Debit,Regular,Yes
10274,1063,2024-03-15,12.94,119.0,Bank Transfer,Regular,Yes
10275,1063,2024-03-16,10.71,133.0,Bank Transfer,Regular,Yes
10276,1063,2023-03-27,8.2,,Direct Debit,One-off,No
10277,1063,2023-02-02,8.42,113.0,Cash,Regular,Yes
10278,1064,2024-07-29,18.57,121.0,Cash,One-off,No
10279,1064,2024-06-16,19.82,132.0,Bank Transfer,One-off,No
10280,1065,2024-02-07,14.52,,Card,One-off,Yes
10281,1065,2023-08-18,24.78,116.0,Cash,One-off,No
10282,1065,2024-03-14,49.59,133.0,Card,One-off,Yes
10283,1065,2024-04-22,18.55,,Cash,One-off,No
10284,1067,2023-08-17,66.04,116.0,Card,One-off,Yes
10285,1067,2024-03-16,115.92,133.0,Card,One-off,No
10286,1067,2023-08-06,109.44,130.0,Card,One-off,Yes
10287,1067,2023-03-20,135.53,114.0,Bank Transfer,One-off,Yes
10288,1067,2024-02-26,151.73,119.0,Card,One-off,Yes
10289,1067,2024-03-14,147.89,133.0,Bank Transfer,One-off,No
10290,1067,2024-05-27,110.29,120.0,Card,One-off,Yes
10291,1067,2023-06-04,169.71,126.0,Bank Transfer,One-off,Yes
10292,1067,2023-04-06,165.28,114.0,Card,One-off,Yes
10293,1067,2024-09-08,130.02,102.0,Bank Transfer,One-off,Yes
10294,1067,2023-03-30,164.4,114.0,Bank Transfer,One-off,No
10295,1067,2023-03-30,151.47,110.0,Card,One-off,No
10296,1067,2024-01-18,204.48,129.0,Bank Transfer,One-off,Yes
10297,1067,2023-02-12,27.11,118.0,Card,One-off,No
10298,1068,2023-04-06,83.39,114.0,Bank Transfer,One-off,No
10299,1068,2024-02-01,61.12,,Card,One-off,Yes
10300,1068,2024-07-07,47.7,,Bank Transfer,One-off,Yes
10301,1069,2024-05-25,12.5,120.0,Card,One-off,Yes
10302,1069,2024-03-19,16.77,,Cheque,One-off,Yes
10303,1069,2023-11-13,14.15,,Bank Transfer,One-off,No
10304,1070,2023-09-08,10.4,117.0,Bank Transfer,One-off,Yes
10305,1070,2024-08-09,14.2,122.0,Card,One-off,No
10306,1070,2023-07-31,11.0,116.0,Cash,One-off,Yes
10307,1070,2024-07-23,15.83,121.0,Card,One-off,Yes
10308,1070,2024-08-26,13.57,125.0,Card,One-off,No
10309,1070,2023-08-11,14.98,,Card,One-off,No
10310,1071,2024-06-16,62.2,132.0,Card,One-off,Yes
10311,1071,2023-03-22,44.88,103.0,Bank Transfer,One-off,Yes
10312,1072,2024-09-26,19.51,124.0,Card,One-off,Yes
10313,1072,2023-09-16,22.39,,Cash,One-off,No
10314,1073,2024-07-29,33.4,134.0,Card,One-off,Yes
10315,1073,2024-09-29,53.37,106.0,Card,One-off,Yes
10316,1073,2024-04-19,26.55,104.0,Card,One-off,Yes
10317,1073,2024-10-01,29.29,107.0,Cash,One-off,No
10318,1073,2024-10-03,36.05,106.0,Card,One-off,Yes
10319,1073,2024-10-02,45.83,124.0,Card,One-off,Yes
10320,1073,2024-08-26,31.53,125.0,Card,One-off,No
10321,1073,2024-09-11,22.58,107.0,Card,One-off,No
10322,1073,2024-08-21,21.83,125.0,Bank Transfer,One-off,No
10323,1074,2023-02-24,116.64,115.0,Direct Debit,Regular,Yes
10324,1074,2024-09-13,186.51,107.0,Direct Debit,Regular,No
10325,1074,2023-07-31,153.72,116.0,Direct Debit,Regular,No
10326,1074,2023-01-31,101.75,131.0,Direct Debit,Regular,Yes
10327,1074,2023-08-19,212.54,130.0,Direct Debit,Regular,Yes
10328,1074,2023-02-03,203.4,131.0,Cash,Regular,No
10329,1074,2023-02-04,36.0,118.0,Direct Debit,Regular,Yes
10330,1074,2023-06-17,237.23,108.0,Direct Debit,Regular,No
10331,1074,2023-02-11,103.76,118.0,Direct Debit,Regular,No
10332,1074,2024-04-07,283.11,101.0,Direct Debit,Regular,Yes
10333,1074,2023-08-23,77.2,109.0,Direct Debit,One-off,No
10334,1074,2023-05-21,141.15,111.0,Direct Debit,Regular,Yes
10335,1074,2023-03-29,178.54,110.0,Direct Debit,Regular,No
10336,1074,2023-02-27,202.44,115.0,Card,Regular,Yes
10337,1074,2024-04-03,108.81,101.0,Direct Debit,Regular,Yes
10338,1074,2024-04-26,173.63,104.0,Direct Debit,Regular,Yes
10339,1074,2023-03-31,231.64,103.0,Direct Debit,Regular,Yes
10340,1074,2023-03-22,206.46,110.0,Direct Debit,Regular,Yes
10341,1074,2023-12-13,234.97,112.0,Direct Debit,Regular,Yes
10342,1074,2023-08-28,133.62,109.0,Direct Debit,Regular,Yes
10343,1074,2023-06-18,144.27,108.0,Direct Debit,Regular,Yes
10344,1074,2023-09-23,169.11,123.0,Bank Transfer,Regular,Yes
10345,1075,2023-02-01,5.0,118.0,Cash,One-off,Yes
10346,1075,2024-08-26,5.0,102.0,Cheque,One-off,Yes
10347,1076,2024-04-05,19.81,101.0,Card,One-off,No
10348,1076,2024-09-10,12.95,124.0,Cash,One-off,Yes
10349,1077,2024-03-07,19.42,119.0,Card,One-off,Yes
10350,1078,2023-09-10,30.36,123.0,Cash,One-off,No
10351,1080,2024-07-23,280.73,121.0,Card,One-off,Yes
10352,1080,2024-06-16,301.75,132.0,Cheque,One-off,No
10353,1080,2024-04-20,386.43,104.0,Cash,One-off,Yes
10354,1080,2024-08-13,278.1,122.0,Card,One-off,No
10355,1081,2023-08-04,14.66,116.0,Card,One-off,No
10356,1081,2023-10-12,6.8,,Cash,One-off,Yes
10357,1081,2024-09-26,8.61,107.0,Cash,One-off,Yes
10358,1081,2024-03-14,7.83,133.0,Card,One-off,No
10359,1082,2023-10-25,64.87,,Direct Debit,Regular,No
10360,1082,2024-04-07,112.48,101.0,Direct Debit,Regular,Yes
10361,1082,2024-03-01,114.53,119.0,Direct Debit,Regular,Yes
10362,1082,2024-04-23,68.63,104.0,Direct Debit,Regular,Yes
10363,1082,2024-01-09,51.67,129.0,Direct Debit,Regular,Yes
10364,1082,2023-04-05,43.24,114.0,Direct Debit,Regular,Yes
10365,1082,2023-03-25,90.44,110.0,Direct Debit,Regular,Yes
10366,1082,2023-03-06,45.44,110.0,Direct Debit,Regular,No
10367,1082,2024-03-16,83.32,133.0,Bank Transfer,Regular,Yes
10368,1082,2024-07-29,74.24,134.0,Cheque,Regular,No
10369,1082,2023-09-13,10.53,,Card,Regular,Yes
10370,1082,2024-03-14,95.93,133.0,Direct Debit,Regular,No
10371,1082,2023-01-29,85.84,113.0,Direct Debit,Regular,Yes
10372,1082,2024-01-07,65.07,105.0,Card,Regular,Yes
10373,1082,2024-08-22,96.25,125.0,Direct Debit,Regular,Yes
10374,1082,2023-02-06,34.75,118.0,Direct Debit,Regular,No
10375,1082,2024-09-16,34.79,,Direct Debit,Regular,Yes
10376,1082,2023-03-26,67.79,110.0,Direct Debit,Regular,Yes
10377,1082,2024-08-27,92.52,,Card,Regular,Yes
10378,1082,2024-06-15,36.53,132.0,Card,Regular,No
10379,1082,2024-09-07,33.64,,Direct Debit,Regular,Yes
10380,1082,2023-12-04,73.0,112.0,Direct Debit,Regular,Yes
10381,1082,2024-07-11,26.86,127.0,Direct Debit,Regular,No
10382,1082,2024-09-09,69.69,106.0,Direct Debit,One-off,No
10383,1084,2024-09-05,5.0,125.0,Card,One-off,Yes
10384,1084,2024-07-29,5.0,134.0,Card,One-off,Yes
10385,1085,2024-09-09,23.54,,Bank Transfer,One-off,No
10386,1085,2024-04-10,5.0,101.0,Cheque,One-off,No
10387,1085,2024-05-02,17.95,104.0,Cash,One-off,Yes
10388,1086,2023-09-25,11.06,,Bank Transfer,One-off,No
10389,1087,2024-11-09,27.37,,Card,One-off,Yes
10390,1088,2024-08-16,353.49,122.0,Direct Debit,Regular,No
10391,1088,2024-04-03,321.57,101.0,Direct Debit,Regular,Yes
10392,1088,2024-06-16,237.81,132.0,Direct Debit,Regular,No
10393,1088,2024-09-02,227.44,102.0,Card,Regular,Yes
10394,1088,2024-04-26,292.81,104.0,Card,Regular,No
10395,1088,2024-04-04,176.79,101.0,Direct Debit,Regular,Yes
10396,1088,2024-07-12,173.25,,Direct Debit,Regular,Yes
10397,1088,2024-06-15,101.01,132.0,Direct Debit,Regular,No
10398,1088,2024-08-09,339.95,,Card,Regular,No
10399,1088,2024-03-04,236.85,119.0,Direct Debit,Regular,Yes
10400,1088,2024-01-22,162.07,128.0,Direct Debit,Regular,No
10401,1088,2024-12-16,234.68,,Direct Debit,Regular,Yes
10402,1088,2024-07-12,409.9,121.0,Direct Debit,Regular,No
10403,1088,2024-05-31,296.24,120.0,Bank Transfer,Regular,Yes
10404,1088,2024-08-21,175.7,,Direct Debit,Regular,Yes
10405,1088,2024-07-29,186.29,134.0,Direct Debit,Regular,No
10406,1088,2024-03-16,386.71,133.0,Direct Debit,Regular,Yes
10407,1088,2024-09-11,165.84,124.0,Direct Debit,Regular,Yes
10408,1095,2023-03-04,5.0,115.0,Cash,One-off,Yes
10409,1095,2023-03-06,6.21,110.0,Card,One-off,No
10410,1095,2023-08-04,5.0,116.0,Card,One-off,Yes
10411,1095,2023-05-21,5.0,111.0,Bank Transfer,One-off,No
10412,1095,2023-03-01,7.94,115.0,Card,One-off,Yes
10413,1095,2024-08-18,5.25,102.0,Bank Transfer,One-off,No
10414,1096,2023-03-09,5.0,103.0,Card,One-off,No
10415,1096,2024-02-09,5.0,,Card,One-off,Yes
10416,1096,2023-12-01,5.0,,Card,One-off,No
10417,1096,2023-05-18,5.0,111.0,Cash,One-off,Yes
10418,1096,2023-01-14,5.0,,Bank Transfer,One-off,No
10419,1096,2023-01-26,5.0,131.0,Card,One-off,Yes
